TIMESTAMP_MS,DIAG_STAT,X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TEMP_OUT,TIME_STAMP,DATA_CNTR,X_DELTANG_LOW
51,0,3248722,49,2176783,33,271003,4,-469806,-8,-14293126,-219,262117275,3997,265,0,26954,1903
114,0,-1784139,-28,-1190188,-19,232656,3,1504172,22,-13813215,-211,262738909,4009,265,0,27078,-1053
176,0,165655,2,1957885,29,-533911,-9,652537,9,-13641684,-209,262285322,4002,264,0,27203,131
238,0,2973364,45,1477372,22,277990,4,-97132,-2,-14071341,-215,262400484,4003,264,0,27327,1728
302,0,-2261740,-35,-1157738,-18,96485,1,1119360,17,-13640655,-209,263588034,4022,262,0,27454,-1269
363,0,-953479,-13,1196748,18,-460807,-8,123014,1,-13898941,-213,262933457,4012,261,0,27577,-304
425,0,-476522,-8,-179423,-3,156555,2,1512795,23,-13231652,-203,265054789,4044,266,0,27701,-365
488,0,-1346308,-21,-351143,-6,-249550,1,417601,6,-13677642,-209,261268924,3986,262,0,27826,-692
550,0,-1602248,-25,-1283394,-20,298988,4,1432856,21,-14376666,-220,264163010,4030,264,0,27950,-838
614,0,37350,0,818292,12,150583,2,1979142,30,-13707611,-210,262396886,4003,262,0,28077,-35
676,0,2229075,34,7375143,112,-1445868,-23,101159,1,-14150262,-216,262614587,4007,260,0,28201,1231
739,0,-2514005,-39,-2078240,-32,1189355,18,1112276,17,-14293357,-219,260738484,3978,262,0,28326,-1505
801,0,3098298,47,6458807,98,-1512315,-24,649962,9,-13268614,-203,261783405,3994,262,0,28451,1744
864,0,3965978,60,3266560,49,1624780,24,-739605,-12,-14313528,-219,262372195,4003,264,0,28576,2218
926,0,-820506,-13,1684192,25,-121833,-2,568932,9,-13169617,-201,262527008,4005,262,0,28701,-486
989,0,6481460,98,15274488,233,-2847120,-44,-28453,-1,-12939050,-194,264503663,4036,262,0,28826,3612
1056,0,-6698663,-103,-9421206,-144,9866556,150,45892185,700,-99473,-2,266188594,4061,264,0,28959,-3849
1115,0,5710691,87,9891110,150,-2213490,-34,-813517,-13,-15051920,-230,262694462,3975,263,0,29077,3285
1177,0,7283937,150,11193296,170,-667967,-11,28377691,433,-36301854,-554,264498796,4035,264,0,29202,6154
1240,0,1137018,17,3363550,51,-134878,-9,-3790441,-58,-10673919,-163,263805279,4025,263,0,29326,572
1302,0,-6391561,-98,-864794,-14,-11791328,-180,1146232,17,-7412255,-114,262422013,4034,262,0,29451,-4232
1365,0,-3505819,-54,4741301,72,-6591617,-101,-3091712,-48,-12243629,-187,265625637,4053,265,0,29575,-1476
1427,0,-10900460,-167,1787474,27,-7841280,-120,-6302280,-97,-13750823,-210,264242057,4032,264,0,29699,-5813
1489,0,12589422,192,-15180718,-232,-3238107,-50,4467749,62,-21084052,-322,267439342,4080,262,0,29824,7385
1551,0,6495721,99,15553221,237,-49227642,-752,14331598,218,-28238278,-427,264950736,4042,262,0,29948,3582
1615,0,-14129670,-216,106060181,1618,-42468966,-649,-6809726,-104,-40614658,-620,262438674,4004,262,0,30075,-7908
1677,0,91884072,1402,-10937252,-167,-68473012,-1049,4377192,66,12547632,191,263203527,4016,262,0,30198,51322
1740,0,59198994,903,-8128054,-125,-70136502,-1071,19672344,300,-45126823,-689,251461095,3836,263,0,30324,34237
1802,0,107681558,1643,40958867,624,-136919375,-2090,-3074842,-47,-1765405,-27,269320672,4014,260,0,30448,61015
1865,0,60427701,922,27434097,418,-126573610,-1932,-11684304,-179,-3642692,-56,262455173,4004,264,0,30574,34788
1928,0,15571917,237,36493534,556,-116656874,-1781,-12231136,-187,20692352,315,272754511,4161,264,0,30699,9120
1989,0,-205886,-8,-23212464,-355,-70352243,-1074,-30246669,-462,31173756,475,235895443,3599,264,0,30823,36
2052,0,-10811813,-165,-2167472,-34,-64814059,-989,-27039637,-413,14194088,316,253050786,3861,264,0,30948,-5779
2115,0,-23373718,-357,-7513877,-115,-44757333,-683,-46168918,-705,27065650,412,250632217,3824,265,0,31073,-13317
2178,0,-25012284,-382,13546039,203,-53803485,-821,-23216160,-355,16841130,256,250392261,3820,264,0,31197,-13894
2240,0,-1440642,-22,2646565,40,-57381846,-876,-32333601,-483,10073863,153,263762194,4024,264,0,31322,-783
2302,0,18111,0,-8969326,-137,-42861972,-655,-37294270,-570,8853476,140,263529288,4021,264,0,31446,-46
2364,0,-17042123,-261,-27671699,-423,-36549184,-558,-32692633,-499,5847741,89,260166824,3969,264,0,31570,-9789
2426,0,-8437164,-129,-12697943,-194,-12489377,-191,-28460885,-435,5864280,89,258487393,3944,263,0,31695,-4707
2489,0,6938231,105,-5520239,-85,-9575826,-147,-30455389,-465,17059547,260,264937844,4042,264,0,31819,3965
2551,0,-977755,-15,-14147508,-216,14963683,228,-23388831,-357,19509704,297,262011244,3997,262,0,31944,-706
2614,0,17827356,272,-13906223,-213,-5844030,-90,-6677584,-102,42605167,650,283966939,4332,263,0,32069,10159
2676,0,20798837,317,-20818629,-316,-18615989,-285,-14382947,-220,39626084,604,255130114,3892,263,0,32193,11627
2739,0,11378612,173,-44999706,-687,-34886429,-533,-18229754,-279,29266209,446,264162230,4030,263,0,32318,6529
2801,0,-11580471,-177,-36264025,-554,-26744727,-409,-6368360,-98,6274955,95,264793021,4046,263,0,32443,-6663
2864,0,-9311336,-143,64098575,988,-19018944,-291,-12464340,-191,16926834,258,262088349,3999,265,0,32567,-4386
2927,0,-8683063,-133,-37139302,-567,101845245,1554,-3332346,-51,21953412,334,249249358,3803,264,0,32694,-4902
2989,0,-91391913,-1395,-146867631,-2242,202143866,3084,11177678,170,57031037,870,246544276,3761,263,0,32818,-53650
3053,0,30824371,470,-3550568,-55,-81783732,-1248,-6440247,-99,61877350,944,205837107,3140,265,0,32944,13280
3114,0,-72083168,-1100,7854659,119,37235072,568,6267961,95,5489052,83,279885532,4270,265,0,33067,-41008
3177,0,-77778077,-1187,136686262,2085,-83974499,-1282,1299313,19,1256927,19,263116086,4014,262,0,33193,-44734
3240,0,-14049758,-215,659932,10,-24757686,-378,-1007763,-16,23504181,358,232956247,3554,264,0,33318,-10005
3302,0,-29818294,-455,-60511548,-924,32091900,489,19240142,293,-8302995,-127,276329209,4216,264,0,33442,-17319
3365,0,105584582,1611,96427146,1471,59675,0,12493613,190,3866044,58,192131582,2931,264,0,33567,54718
3427,0,-19845880,-303,39539374,603,-38407257,-587,-1045844,-26,-31166915,-476,245262313,3742,262,0,33691,-11049
3490,0,-2869159,-49,39447667,601,-43293124,-661,-6912700,-106,-33424643,-511,266303120,4063,264,0,33817,-2136
3552,0,-24073612,-368,25534221,389,-5836802,-90,-12122212,-185,-22683238,-347,265875429,4076,265,0,33940,-13639
3614,0,18055465,275,2004903,30,41295124,630,-42892022,-636,-36369615,-555,269313742,4109,265,0,34065,10085
3677,0,-10197306,-156,-53542253,-817,105444028,1608,-47971003,-732,-18363311,-281,279295325,4261,264,0,34190,-6379
3739,0,37050864,565,28253250,431,21813989,332,-40816944,-623,-49119699,-750,250046445,3815,263,0,34314,21096
3802,0,31657112,501,73136056,1115,-36600648,-559,-10760496,-165,40653785,620,228380126,3484,262,0,34441,19116
3865,0,74882341,1142,-5114851,-79,7187464,106,18843,0,-20499680,-313,253195620,3863,262,0,34564,43083
3927,0,35109329,535,-10776506,-165,36247204,553,-15056620,-230,-14211570,293,245519490,3746,262,0,34690,20996
3991,0,34206039,521,-16552057,-253,60549437,923,2558183,39,-11948941,-176,262203725,4000,264,0,34816,18750
4053,0,5667360,86,16935632,258,34448499,525,47264166,721,-12852920,-197,239060141,3647,264,0,34940,3279
4115,0,42992569,656,-9599534,-147,-14923900,-228,7850955,119,-28461680,-435,262767058,4009,263,0,35065,23673
4178,0,-24019339,-367,14871490,226,19089342,291,46394166,707,25083239,382,236874447,3614,263,0,35190,-15285
4241,0,-41552872,-629,-7593437,-116,44595188,680,13010024,198,-22789324,-348,255444056,3897,264,0,35316,-23458
4303,0,-4256099,-65,-42055117,-642,69400419,1058,19931652,304,-43306911,-661,261820036,3995,264,0,35439,-1807
4366,0,-9980807,-153,45204841,689,-36421953,-556,26353173,402,-28287208,-432,267313167,4078,264,0,35565,-5622
4428,0,-116010738,-1771,28286473,431,-27492773,-420,12545600,191,-49007348,-748,255072584,3892,264,0,35689,-63088
4491,0,-79650969,-1216,68037015,1038,-65908462,-1006,-21057659,-322,-65342487,-998,272670037,4160,264,0,35814,-44343
4553,0,-60650847,-926,-15903826,-243,-10257104,-157,-12385856,-189,-54286894,-829,257534946,3951,263,0,35939,-34522
4616,0,-26908262,-411,-29588067,-452,-25762693,-394,-24775054,-379,-70501488,-1076,274766702,4192,263,0,36063,-14750
4678,0,-8399647,-129,1080413,16,-46812860,-715,15714915,239,-50799847,-776,261641218,3992,263,0,36189,-4723
4741,0,18147111,276,-759749,-12,-6911205,-106,-24763505,-378,-68037777,-1039,253685140,3870,265,0,36313,10938
4803,0,48015643,732,-17299388,-264,-7840649,-120,-4850,-1,-78402857,-1197,249468813,3806,264,0,36438,29533
4865,0,41806945,637,4066026,62,84863969,1294,-7460863,-114,-26376708,-403,244180276,3725,263,0,36562,23094
4928,0,47819080,729,-18888793,-289,36097431,550,-30045798,-459,50850819,775,247708011,3779,264,0,36687,18975
4991,0,9878497,150,-16165785,-247,64371671,982,44260254,675,-6104651,-94,277005595,4226,260,0,36812,13205
5054,0,-39933429,-610,-52121547,-796,29649421,452,18408207,280,-3665478,-56,251974192,3844,264,0,36938,-23893
5116,0,-18791155,-287,-21484484,-328,42117241,642,16226691,247,-10810409,-165,280477357,4279,265,0,37062,-10057
5178,0,-24232617,-370,27695613,422,43459589,663,-6206049,-95,-8276958,-127,271162430,4137,264,0,37185,-13750
5241,0,-51750922,-790,31639784,482,2942538,44,13620881,207,-26764803,-409,253040574,3861,264,0,37311,-30019
5303,0,26093691,398,-16390828,-251,40925257,624,-1150217,-18,-31614465,-483,259405996,3958,264,0,37434,14657
5366,0,576779,8,-7669419,-118,24591886,375,10674901,162,-39369938,-601,258834713,3949,262,0,37560,252
5428,0,-6950332,-107,-9407705,-144,11025672,168,10089935,153,-32600082,-498,263275900,4017,262,0,37684,-3899
5491,0,1490229,22,865866,13,-3662529,-56,3881710,64,-40656358,-621,258734708,3947,264,0,37809,847
5553,0,14670234,226,-4788178,-74,4131042,63,4942283,75,-40407255,-617,265761395,4055,264,0,37935,8383
5616,0,19240075,293,-1690113,-26,5192342,79,11485277,175,-43259696,-661,263188377,4015,263,0,38060,11020
5678,0,-8818111,-135,-2060624,-32,36981306,566,12385296,188,-39426729,-602,288066273,4395,263,0,38184,-4904
5740,0,27107531,413,-3463911,-53,16664377,254,4934788,75,-38975475,-595,241824275,3693,263,0,38308,15402
5803,0,42226062,644,-15389306,-235,-25509220,-390,-5065139,-78,-19566046,-299,252577937,3854,262,0,38433,23985
5866,0,-35587177,-544,-26209792,-400,-30028809,-459,15573605,237,-23955418,-366,252355769,3850,265,0,38558,-20526
5928,0,7500274,114,-67005986,-1023,-29832247,-456,38613153,589,-35822385,-547,264027780,4028,262,0,38683,4397
5991,0,60983414,930,-74140507,-1132,19310634,294,7642951,116,-40657582,-621,270475564,4127,263,0,38808,34730
6053,0,80094685,1222,-45748073,-699,6699259,102,31270674,477,-19947717,-305,259948001,3966,260,0,38932,45585
6116,0,82037157,1251,-101087420,-1543,-524929,-9,15904537,241,-40408563,-617,265981934,4058,262,0,39058,46856
6178,0,26928995,410,35450159,540,-32162864,-491,71348679,1088,15750216,231,263751730,4024,265,0,39181,15767
6240,0,-24571722,-375,-132659352,-2025,7301201,111,44918668,685,20732448,316,298164315,4549,264,0,39306,-13140
6303,0,-6798057,-104,-132656430,-2025,-34583784,-528,63890670,974,-11246111,-172,233873804,3568,264,0,39431,-4014
6366,0,-149341908,-2279,-175602846,-2680,-198033047,-3022,72185356,1101,1213746,18,257827947,3934,262,0,39556,-85709
6428,0,-133635131,-2040,12032946,183,-98683404,-1506,59793621,912,-26476322,-404,209974627,3203,265,0,39680,-77160
6491,0,43344478,661,-74706577,-1140,-27821460,-425,77763357,1186,32649674,307,238135116,3633,262,0,39805,24638
6553,0,60503269,923,41005957,625,25164246,383,79536560,1230,-7082604,-109,238645352,3641,264,0,39930,35187
6620,0,63292929,965,32653960,498,-14599147,-217,83887556,1280,-19301028,-295,254005240,3875,260,0,40062,35951
6679,0,46054107,702,9058919,138,980669,12,75036818,1144,-12551022,-192,244370666,3728,264,0,40181,26032
6741,0,612547,9,-2908584,-45,-6843922,-105,78282937,1194,-7388065,-114,253559632,3869,262,0,40304,143
6803,0,29052035,443,19457038,296,5559876,85,77431019,1181,-2052155,-32,256033123,3906,262,0,40428,16397
6866,0,-25492693,-389,11860527,180,-22375718,-342,63597523,970,16701232,254,246812308,3766,264,0,40554,-13270
6928,0,-10947739,-168,10931476,166,-4199144,-65,68252099,1041,-5665761,-87,247927944,3783,264,0,40678,-6154
6991,0,19045279,290,13394998,204,6568021,100,68031791,1038,-3801877,-59,257040167,3922,263,0,40805,10852
7054,0,24982885,381,45121652,688,23885259,364,70645063,1077,-23260311,-355,247274944,3773,264,0,40929,14568
7119,0,23671746,432,24334506,371,23634933,360,63513279,969,-28038690,-428,264109978,4029,264,0,41061,18089
7179,0,54731279,835,-6053220,-93,29293791,446,67361105,1027,47493038,724,279991314,4272,263,0,41179,29925
7241,0,15776951,240,8460108,129,20877682,318,56268267,863,8491484,129,256767081,3917,260,0,41303,9217
7304,0,25186391,384,5025643,76,-970409,-15,54901817,840,13418981,204,250008776,3814,265,0,41429,13639
7366,0,10626428,162,1631293,24,2354300,35,55098651,840,8751715,133,259517726,3962,262,0,41553,6045
7429,0,-16180190,-247,26950410,411,11607865,177,73408730,1120,10801886,164,263809958,4025,264,0,41678,-9393
7491,0,1618589,24,38636779,589,11709695,178,63420114,967,15027321,203,246250250,3757,265,0,41803,902
7553,0,-140401446,-2143,28917178,441,-36658671,-560,49773310,759,6263948,95,284434812,4340,263,0,41926,-79949
7620,0,-20750001,-317,2938713,44,6472422,98,68646375,1047,-6394704,-98,293084449,4472,265,0,42059,-12292
7679,0,-46107399,-704,19137912,292,24047837,366,67853878,1035,-5942803,-91,306404377,4675,262,0,42178,-26027
7741,0,-147229815,-2247,48286308,736,18584206,283,64687853,987,-25309648,-387,327901554,5003,262,0,42302,-84077
7804,0,-55585891,-849,85383088,1302,42346614,646,48205975,735,-24455081,-375,304140121,4640,265,0,42426,-31698
7867,0,-64240120,-981,65646179,1001,-9851379,-151,47308823,721,-45359619,-693,276789231,4223,262,0,42552,-36154
7929,0,-52766800,-806,85620359,1306,8807890,134,21160369,322,-40543655,-619,268096686,4090,262,0,42677,-30242
7992,0,-26749823,-409,90925755,1387,-21493031,-328,10283613,156,-44774466,-684,242867561,3705,262,0,42802,-15591
8054,0,-61928333,-945,66232286,1010,-30602488,-467,-12774733,-195,-32247787,-493,231068748,3525,264,0,42926,-34990
8120,0,87303100,1332,76434618,1166,-4295168,-66,20013529,305,-50346154,-769,211519786,3227,262,0,43058,49350
8180,0,31204447,476,56553106,862,-7551792,-116,1489204,22,-41888955,-640,217108110,3312,262,0,43176,17938
8242,0,53549521,817,33333507,508,-285893,-5,836350,12,-38212427,-584,221089262,3373,263,0,43301,30296
8304,0,31292182,477,26067035,397,-4671329,-72,-8414432,-129,-30092703,-460,230247071,3507,263,0,43425,17968
8366,0,42403074,647,12483787,190,4246697,64,-1312459,-21,-27741368,-424,245646633,3748,265,0,43549,23974
8429,0,46446186,708,-5626804,-86,-1688858,-22,-3388785,-52,-25645365,-392,249557178,3807,264,0,43673,26535
8491,0,30599446,466,-5350616,-82,5917400,90,-15925075,-243,-14956981,-229,258892426,3950,265,0,43798,17146
8554,0,27394073,418,-9629562,-147,3696465,56,-12374186,-189,-17437779,-267,262737298,4009,264,0,43923,15659
8621,0,-3246677,-50,-1022519,-16,-6905375,-106,7737111,118,-16629342,-258,263963260,4027,262,0,44056,-1941
8679,0,-82739581,-1258,-61772720,-943,-23756795,-363,36374845,555,-21613760,-330,269425222,4111,264,0,44174,-46866
8741,0,-36056190,-551,21693362,331,-19994706,-306,26476007,403,-23317093,-356,267921414,4083,264,0,44298,-20308
8804,0,28616447,436,16998356,259,15567161,237,21065706,321,-23841884,-364,266141362,4060,264,0,44423,16336
8866,0,1304268,19,-16590463,-254,54066302,824,4421254,67,-20583332,-315,255173109,3893,262,0,44547,668
8929,0,66211888,1010,-6632101,-102,98418505,1501,10478323,159,-25556978,-396,277174311,4229,265,0,44672,37555
8992,0,11102882,169,-825760,-13,50917841,776,-3408866,-54,-19559293,-299,270100993,4121,264,0,44797,6223
9055,0,-2160887,-33,-9645653,-148,13183910,201,-20326923,-311,-17537562,-268,260995930,3982,263,0,44923,-1192
9120,0,-6004783,-92,7017398,107,8514443,129,-36340285,-555,-12374513,-189,259237604,3955,264,0,45053,-3697
9179,0,12359962,188,66653127,1017,56524975,862,-65893030,-1006,-1886152,-29,255999470,3906,264,0,45171,7496
9241,0,47288292,721,42817717,653,37477641,571,-53642689,-819,-711068,-11,256616364,3915,265,0,45295,26604
9304,0,-7662541,-117,36783800,561,22833392,353,-48237047,-737,11028275,168,257249765,3925,265,0,45420,-4323
9367,0,-47091261,-719,4721134,72,-9764375,-149,-27003656,-421,23327620,355,270937425,4134,262,0,45546,-26716
9429,0,13864021,211,24426709,372,-5964488,-92,-16122051,-247,20900261,318,267101914,4075,265,0,45669,8240
9492,0,136832080,2087,53346467,814,-33663,-1,-14805047,-226,26308217,401,257099751,3928,263,0,45795,78216
9554,0,247345303,3774,-3214520,-50,-26129259,-399,-17895802,-272,36641262,559,270065602,4120,264,0,45919,140828
9621,0,249619751,3798,-18772648,-287,-28595500,-437,-31905640,-487,51959961,792,266147037,4061,265,0,46052,141566
9679,0,-11365715,-174,-18396064,-281,-48501760,-741,-29982593,-458,46328257,706,249307307,3804,263,0,46168,-6448
9742,0,71015156,1083,-1968286,-31,-27897488,-426,-39297105,-600,56748818,865,223270927,3406,265,0,46294,39898
9804,0,4476859,68,-15773138,-241,-19868151,-304,-23578308,-360,41142818,627,241076391,3678,265,0,46418,2733
9867,0,13572488,207,-57204129,-873,-36619335,-559,-22051444,-337,46741147,713,245455512,3745,264,0,46543,7833
9929,0,-32014985,-489,-37416825,-571,-34555789,-528,-15629392,-239,33781317,515,257610124,3930,264,0,46668,-18680
9992,0,-108826283,-1661,-32046961,-489,-65388576,-998,-12365593,-189,20198839,308,293420821,4477,264,0,46793,-61893
10055,0,-63319555,-967,-24076256,-368,-43473492,-664,-12233394,-187,19445644,296,258441784,3943,263,0,46919,-35874
10117,0,-50627845,-773,-13860001,-212,-33352143,-509,-14230337,-218,4470723,68,264790057,4040,263,0,47043,-28561
10180,0,-10532919,-161,-13623998,-208,-10098680,-155,-23102853,-353,3761786,57,265631093,4053,263,0,47168,-6049
10242,0,-36615612,-559,-18640383,-285,-526439,-9,-35764793,-546,20859996,318,278564147,4250,262,0,47292,-20738
10304,0,-43137785,-659,-20938391,-320,-19888044,-304,-46645963,-712,25038163,382,264649947,4038,265,0,47416,-24673
10368,0,-38996344,-596,-4880485,-75,-23158217,-354,-40206334,-614,22823866,348,273889060,4179,262,0,47543,-21589
10429,0,-17788231,-272,1848505,28,-3395334,-52,-18879433,-289,5498529,83,265883315,4057,264,0,47666,-10120
10492,0,-10102431,-155,-3992310,-61,-10270011,-159,-19072883,-292,4703944,71,243621898,3717,264,0,47791,-5934
10554,0,-12358577,-189,4359085,66,-1858917,-29,-15057711,-230,7942758,121,250537476,3822,265,0,47915,-6789
10621,0,83466158,1273,57387143,875,46652844,711,11832020,180,2569584,39,273781797,4177,262,0,48049,47314
10680,0,5370911,81,12597531,192,6347419,96,620358,9,19943908,309,258970311,3951,264,0,48166,3130
10742,0,-27149724,-415,-1909871,-30,-8789695,-135,24616681,375,2202043,33,266610824,4068,264,0,48289,-15520
10805,0,25517547,389,-22538174,-344,-7472876,-115,18707998,285,11977269,182,260938662,3981,262,0,48416,14498
10867,0,85664344,1307,-37355851,-571,-14770357,-226,15903557,242,10653714,162,258348227,3942,264,0,48540,49049
10930,0,3501807,53,2048292,31,1562619,23,7228966,110,15812051,241,250930200,3828,264,0,48665,2121
10992,0,-11179886,-171,-1108046,-17,14680610,224,-1722307,-27,7139811,108,267166971,4078,263,0,48789,-6677
11054,0,462140,7,10221278,155,35615312,543,-5710013,-88,-2062419,-32,263973186,4027,264,0,48913,224
11120,0,-39594310,-605,15748541,240,48928074,746,-12895145,-197,-1642585,-26,278174459,4244,263,0,49045,-22283
11179,0,-2285306,-35,6194769,94,46451389,708,-12556991,-192,-1671494,-22,266974743,4073,265,0,49163,-1338
11242,0,-31325648,-478,37850926,577,32160884,490,-12706737,-194,3489937,53,258994528,3951,265,0,49289,-18064
11305,0,-75386165,-1151,49033284,748,-912342,-14,-14497262,-221,5388164,82,280845238,4285,264,0,49413,-43038
11368,0,-150829546,-2302,57196765,872,-21149160,-323,-31622971,-483,-10065240,-154,226634885,3458,262,0,49539,-85862
11429,0,-62515733,-954,9562070,145,38555616,588,-36118057,-552,1662142,30,247014240,3769,263,0,49662,-35472
11492,0,-30204993,-461,-41786626,-638,63581734,970,-17505079,-268,-3606686,-56,256034267,3913,264,0,49786,-17016
11555,0,-90620475,-1383,-12452981,-191,56005707,854,-13161283,-201,5581446,85,284037844,4334,265,0,49913,-51519
11620,0,-107336946,-1638,10277755,156,32385113,494,-2286553,-35,13491491,205,289723879,4420,264,0,50043,-60952
11680,0,10814514,165,12652281,193,25914791,390,2590602,39,13146835,200,264819474,4040,265,0,50161,6581
11742,0,109676221,1673,15594553,237,29844077,455,-1638367,-25,8107308,123,261429107,3989,265,0,50285,62506
11805,0,118592931,1809,-7936676,-122,25611435,390,-8821451,-135,2936105,44,253486282,3867,264,0,50411,67523
11867,0,26740192,408,11113455,169,11453835,174,-22034727,-337,969111,14,260586059,3976,264,0,50535,15082
11930,0,27282952,416,6478195,98,12955894,197,-26860917,-410,-1702188,-26,250630940,3824,262,0,50661,15798
11992,0,19952403,304,997398,15,18918070,288,-26621865,-407,-616829,-10,265752573,4055,262,0,50784,11350
12055,0,-11317373,-173,7626227,116,1866270,28,-24431670,-373,1653006,25,257589846,3930,264,0,50909,-6402
12117,0,-26888541,-411,2380996,36,-4737323,-73,-20579383,-315,258632,3,229576085,3503,265,0,51034,-15465
12179,0,-19402687,-297,-5672392,-87,-1730849,-27,-19701426,-301,6420196,97,207752999,3170,264,0,51159,-10871
12242,0,-2529602,-39,-17173873,-263,6207471,94,-23402069,-358,902796,13,222376948,3393,264,0,51285,-1422
12305,0,62575484,954,-36670770,-562,20741975,316,-15269728,-233,-4460921,-69,245063343,3739,264,0,51408,34593
12369,0,-7731847,-118,-55558204,-848,-21794619,-333,-25334921,-387,6878076,104,228742454,3490,262,0,51538,-3989
12435,0,-20825664,-318,-37035010,-573,9474836,144,796472,12,-8311082,-127,277874024,4240,263,0,51668,-13044
12498,0,-13670938,-209,-47421053,-724,40892192,623,436251,6,-3364174,-52,242477539,3699,263,0,51794,-6885
12561,0,-58730976,-897,-76735829,-1171,50747456,774,5122786,78,-13472842,-206,285455767,4355,264,0,51919,-33601
12623,0,57139642,871,-41753471,-638,50356729,768,4605126,70,-1020437,-16,259271767,3956,264,0,52042,32432
12686,0,-20698704,-316,26965661,411,59431737,906,12494961,190,4556652,69,263072608,4014,264,0,52169,-12242
12748,0,-157915100,-2410,-34901310,-533,-14340413,-219,14903354,227,-13635430,-209,303591427,4626,264,0,52293,-90621
12810,0,-14772679,-226,-21734105,-332,2729754,41,5114057,78,-8152889,-125,269395095,4110,265,0,52417,-8237
12873,0,113843670,1737,27801043,424,30873841,471,7106432,108,-16763578,-256,277005899,4226,265,0,52543,65268
12936,0,2813445,42,37931868,578,350604,5,10835003,165,-9717511,-149,291586858,4449,263,0,52667,1358
12998,0,113039526,1724,9980866,152,11558460,176,6415258,97,-5236705,-76,294514021,4493,264,0,52793,64513
13061,0,90080995,1374,-8805407,-135,16803853,256,11471235,175,13599,9,297246545,4535,263,0,52918,51304
13124,0,41030901,626,-38608622,-590,8375437,127,10199900,155,9098642,138,266583995,4067,265,0,53043,22299
13186,0,41368762,631,-49007207,-748,23371087,356,26042708,397,21391858,326,265780905,4055,264,0,53167,24316
13248,0,37332522,558,-80726887,-1232,377393,5,30454206,464,27978468,426,238949138,3646,262,0,53292,20682
13311,0,-213347715,-3256,8555364,175,7798771,118,24335160,371,7656312,116,274365131,4186,265,0,53417,-122522
13374,0,-155996149,-2381,121197006,1849,-18635223,-285,20983385,320,8085245,188,320313657,4887,263,0,53542,-87451
13435,0,3875255,59,-16363823,-250,14954911,228,28371217,432,2941981,44,261677345,3992,263,0,53665,2037
13498,0,-85244600,-1301,-84397251,-1288,1154536,17,47756173,728,-5817368,-89,254318328,3880,263,0,53790,-47940
13561,0,116709205,1780,98209411,1498,50134609,764,44569210,680,-43021270,-657,255879088,3904,263,0,53916,66539
13624,0,1516452822,23139,-1117465622,-17052,670829405,10236,396908014,6056,892252005,13614,-150770592,-2301,265,0,54041,901310
13687,0,83465909,1273,-220399,-4,8851686,135,4524819,69,-22726008,-347,274015652,4181,265,0,54165,46551
13749,0,20091659,306,486271,7,6134493,93,2627141,40,-27621433,-422,261974482,3997,264,0,54291,11355
13811,0,6206267,94,2564095,39,-3684235,-57,5329681,81,-22440396,-343,262136404,3999,264,0,54415,3436
13874,0,17533399,267,1811800,27,3826570,58,469093,7,-30496944,-466,268003265,4089,264,0,54540,9545
13936,0,-5461906,-84,741772,11,-374055,-6,5739800,87,-24060165,-368,266151759,4061,263,0,54664,-3036
13999,0,-7553532,-116,764592,11,-13763793,-211,40926,0,-32034771,-460,254486222,3883,264,0,54789,-3777
14061,0,-12929666,-198,-18391731,-281,-3135768,-48,6187084,94,-25486738,-389,276159091,4213,265,0,54914,-6353
14123,0,-10761781,-165,605502,9,-9059423,-139,-3113673,-48,-30023951,-459,263098060,4014,265,0,55037,-6160
14186,0,-1739955,-27,727632,11,-251956,-4,1794176,27,-25444220,-397,261060327,3983,262,0,55163,-1009
14249,0,-14763530,-226,-2585666,-40,27552973,420,16240147,247,-12306659,-188,260644477,3977,265,0,55288,-7766
14311,0,5547604,84,719651,10,2784321,42,174282,11,-24208923,-370,262586750,4006,264,0,55412,2988
14373,0,-16723951,-256,-62371,-1,6227030,95,4043490,61,-25409696,-388,261820367,3995,265,0,55536,-9273
14435,0,7644019,116,1236475,18,-80983,-2,1577074,24,-24933326,-381,262703514,4004,262,0,55661,4199
14499,0,-14961591,-229,536201,8,-543997,-9,2821767,43,-22095349,-338,259732055,3963,264,0,55787,-8401
